,vehicle_lane,lon,lat,timestep,mobility_mode,vehicle_noise,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,amount
207,-1066551973,24.94429987281493,60.16414450332082,43,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,-1066551973,24.94429987281493,60.16414450332082,44,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,-1066551973,24.94429987281493,60.16414450332082,44,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,-1066551973,24.94429987281493,60.16414450332082,45,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,-1066551973,24.94429987281493,60.16414450332082,45,fuel,55.94,100.2,1707.0,30.49,1.49,0.0,1.0
212,-1066551973,24.94429987281493,60.16414450332082,46,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,-1066551973,24.94429987281493,60.16414450332082,46,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,-1066551973,24.94429987281493,60.16414450332082,47,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,-1066551973,24.94429987281493,60.16414450332082,47,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,-1066551973,24.94429987281493,60.16414450332082,48,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,-1066551973,24.94429987281493,60.16414450332082,48,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,-1066551973,24.94429987281493,60.16414450332082,49,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,-1066551973,24.94429987281493,60.16414450332082,49,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,-1066551973,24.94429987281493,60.16414450332082,50,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,-1066551973,24.94429987281493,60.16414450332082,50,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,-1066551973,24.94429987281493,60.16414450332082,51,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,-1066551973,24.94429987281493,60.16414450332082,51,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,-1066551973,24.94429987281493,60.16414450332082,52,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
